Length,Trial,Runtime
3,1,0.05699216599987267
3,2,0.045871334000366915
3,3,0.04672029100038344
3,4,0.045607791999827896
3,5,0.04584645799968712
3,6,0.04560058399965783
3,7,0.04553020900038973
3,8,0.04605429200000799
3,9,0.04555687499941996
3,10,0.04594070900020597
3,11,0.04668674999993527
3,12,0.04517000000032567
3,13,0.046551458000067214
3,14,0.04553304099954403
3,15,0.04683229100010067
3,16,0.11366329100019357
3,17,0.05237545899944962
3,18,0.08557800000016869
3,19,0.056991833000211045
3,20,0.05108016700069129
3,21,0.046924125000259664
3,22,0.04549129200040625
3,23,0.046560666999539535
3,24,0.04639004199998453
3,25,0.04459345899977052
3,26,0.04464383300000918
3,27,0.043872250000276836
3,28,0.04525454200029344
3,29,0.047385916999701294
3,30,0.044651583000813844
4,1,0.04588641699956497
4,2,0.04575083399959112
4,3,0.045200666999335226
4,4,0.045225709000078496
4,5,0.04614504199980729
4,6,0.045090499999787426
4,7,0.044523250000565895
4,8,0.045177666999734356
4,9,0.04577587499989022
4,10,0.04489195800033485
4,11,0.04574183299973811
4,12,0.04501095800060284
4,13,0.048796666000271216
4,14,0.04476045899991732
4,15,0.04486404199997196
4,16,0.044452375000219035
4,17,0.04543433299932076
4,18,0.04715212500013877
4,19,0.04558274999999412
4,20,0.047494499999629625
4,21,0.04618116700021346
4,22,0.0451954170002864
4,23,0.044114708000051905
4,24,0.046716249999917636
4,25,0.044156500000099186
4,26,0.044554750000315835
4,27,0.04546445899995888
4,28,0.04526816700035852
4,29,0.044866750000437605
4,30,0.0449634579999838
5,1,0.046968167000159156
5,2,0.04492329200002132
5,3,0.04628054200020415
5,4,0.04445662499983882
5,5,0.04480016700017586
5,6,0.0458634169999641
5,7,0.044576250000318396
5,8,0.04520374999992782
5,9,0.0450191249992713
5,10,0.044834375000391447
5,11,0.047677708999799506
5,12,0.0747665840008267
5,13,0.04548075000002427
5,14,0.045071624999764026
5,15,0.04464587499933259
5,16,0.04566724999949656
5,17,0.04504820799957088
5,18,0.045348624999860476
5,19,0.045060626000122284
5,20,0.0451625409996268
5,21,0.04538908300037292
5,22,0.04447633300060261
5,23,0.04426891700040869
5,24,0.044352125000841625
5,25,0.043718750000152795
5,26,0.048166167000090354
5,27,0.043557749999308726
5,28,0.04332283300027484
5,29,0.044082000000344124
5,30,0.044425209000110044
6,1,0.045164417000705726
6,2,0.044444499999372056
6,3,0.04511529200044606
6,4,0.04474854199997935
6,5,0.043522291999579465
6,6,0.04477820800002519
6,7,0.04735449999952834
6,8,0.04508933399938542
6,9,0.0448311250002007
6,10,0.04442366700004641
6,11,0.04499329200007196
6,12,0.04421479200027534
6,13,0.04495395899994037
6,14,0.04423258299993904
6,15,0.04444287499973143
6,16,0.04518149999967136
6,17,0.044372291000399855
6,18,0.04373508299977402
6,19,0.04373829199994361
6,20,0.04424891700000444
6,21,0.04415941599927464
6,22,0.04447908299971459
6,23,0.04414612499931536
6,24,0.044510875000014494
6,25,0.047542917000100715
6,26,0.04395291699984227
6,27,0.044764584000404284
6,28,0.04690962499989837
6,29,0.045505332999709935
6,30,0.045638208000127634
7,1,0.046491041999615845
7,2,0.04582758299966372
7,3,0.045450542000253336
7,4,0.04530716699991899
7,5,0.04499666699939553
7,6,0.044679500000711414
7,7,0.044734166999660374
7,8,0.045662500000617
7,9,0.04672458400000323
7,10,0.04609654199975921
7,11,0.04619854199972906
7,12,0.0465017499991518
7,13,0.045966499999849475
7,14,0.04709416700006841
7,15,0.04603254099947662
7,16,0.048334999999497086
7,17,0.046182624999346444
7,18,0.046085832999779086
7,19,0.04613691699978517
7,20,0.04655962500055466
7,21,0.04648083299980499
7,22,0.045844708000004175
7,23,0.0466244999997798
7,24,0.047724250000101165
7,25,0.04656225000053382
7,26,0.04601200000070094
7,27,0.045498249999582185
7,28,0.04546204200050852
7,29,0.045905750000201806
7,30,0.04461695800000598
8,1,0.05811149999954068
8,2,0.05813754100017832
8,3,0.05749829199976375
8,4,0.056898207999438455
8,5,0.05669375000070431
8,6,0.05668466599945532
8,7,0.05890979099967808
8,8,0.058282166000026336
8,9,0.057321624999531195
8,10,0.05850595900028566
8,11,0.060554665999916324
8,12,0.058146041999862064
8,13,0.05818487499982439
8,14,0.05788299999949231
8,15,0.05875333399944793
8,16,0.05744816600054037
8,17,0.05764374999944266
8,18,0.05739995900057693
8,19,0.057975749999968684
8,20,0.05764908299988747
8,21,0.05889908300014213
8,22,0.058027790999403805
8,23,0.05822400000033667
8,24,0.057111292000627145
8,25,0.05751729199982947
8,26,0.05705695899996499
8,27,0.05760933399960777
8,28,0.056237791999592446
8,29,0.05678350000016508
8,30,0.05801608300043881
9,1,0.18644824999955745
9,2,0.18102054199971462
9,3,0.18039937600042322
9,4,0.18377679200057173
9,5,0.18633849999969243
9,6,0.1814987090001523
9,7,0.18473116699988168
9,8,0.18193291700026748
9,9,0.18276583300030325
9,10,0.1829792919997999
9,11,0.1819818750000195
9,12,0.18411612500040064
9,13,0.18039570800010551
9,14,0.1802973750000092
9,15,0.20691954199992324
9,16,0.19245562499963853
9,17,0.1798940839998977
9,18,0.2052666670006147
9,19,0.18146341600004234
9,20,0.1801789999999528
9,21,0.18327124999996158
9,22,0.18014200100060407
9,23,0.18198704099995666
9,24,0.17943229200045607
9,25,0.18103358299958927
9,26,0.18266516699986823
9,27,0.18676341700029297
9,28,0.23529229199994006
9,29,0.1859612919997744
9,30,0.18370408299961127
10,1,1.5869352509998862
10,2,1.5589241259995106
10,3,1.601952834000258
10,4,1.5657701670006645
10,5,1.5666429590000917
10,6,1.5718430010001612
10,7,1.6309493329999896
10,8,1.598617209000622
10,9,1.626587083999766
10,10,1.55655975100035
10,11,1.558524834000309
10,12,1.553222459000608
10,13,1.6746167510000305
10,14,1.5632138339997255
10,15,1.5599961249999978
10,16,1.5538733760004106
10,17,1.5692203340004198
10,18,1.5447154169996793
10,19,1.5652264999998806
10,20,1.568880041999364
10,21,1.5493654169995352
10,22,1.543358292999983
10,23,1.5520306260004872
10,24,1.5562178339996535
10,25,1.5576773340008003
10,26,1.5534915420003017
10,27,1.594119125999896
10,28,1.5482000839992907
10,29,1.5502893749999203
10,30,1.5568152510004438
